Game,Experiment,Iteration,Mode,Completed,Score,Moves
txazyxmrld,Experiment2,1,MCTS,0,0.000000,699

ulcoaozwxo,Experiment2,1,MCTS,0,960.000000,682

igdhaspwlh,Experiment2,1,RANDOM,0,-7490.000000,700

jmlitlkctq,Experiment2,1,RANDOM,1,0.000000,1

lhelselkzu,Experiment2,1,RANDOM,0,0.000000,700

oksdptvxag,Experiment2,1,RANDOM,0,0.000000,700

pawyguzqhu,Experiment2,1,RANDOM,1,0.000000,559

rhucyuewut,Experiment2,1,RANDOM,0,0.000000,700

txazyxmrld,Experiment2,1,RANDOM,0,0.000000,700

ulcoaozwxo,Experiment2,1,RANDOM,0,960.000000,700

gvshsovdbx,Experiment2,2,MCTS,1,0,1

ifjetpcrhx,Experiment2,2,MCTS,0,0.000000,505

malcumydrz,Experiment2,2,MCTS,0,0.000000,598

sbqnixpffe,Experiment2,2,MCTS,0,0.000000,503

tkmwlbxgkk,Experiment2,2,MCTS,1,0,1

tvdmodntvi,Experiment2,2,MCTS,1,0,1

vmuosafbsa,Experiment2,2,MCTS,0,0.000000,567

zrlbynqkhl,Experiment2,2,MCTS,0,0.000000,701

gvshsovdbx,Experiment2,2,RANDOM,1,0.000000,1

ifjetpcrhx,Experiment2,2,RANDOM,0,0.000000,700

malcumydrz,Experiment2,2,RANDOM,0,0.000000,700

sbqnixpffe,Experiment2,2,RANDOM,0,0.000000,700

tkmwlbxgkk,Experiment2,2,RANDOM,1,0.000000,1

tvdmodntvi,Experiment2,2,RANDOM,1,0.000000,1

vmuosafbsa,Experiment2,2,RANDOM,0,0.000000,700

zrlbynqkhl,Experiment2,2,RANDOM,0,0.000000,700

dntmmkwuhm,Experiment2,3,MCTS,0,0.000000,504

guutsycuae,Experiment2,3,MCTS,0,0.000000,701

hivugrjpzk,Experiment2,3,MCTS,0,0.000000,599

hjymqgnrje,Experiment2,3,MCTS,0,0.000000,504

mwsuhxqxfg,Experiment2,3,MCTS,0,0.000000,701

nmfmiauqza,Experiment2,3,MCTS,0,0.000000,509

urpsdzypms,Experiment2,3,MCTS,0,0.000000,513

wzlkycacsa,Experiment2,3,MCTS,1,0,428

dntmmkwuhm,Experiment2,3,RANDOM,0,0.000000,700

guutsycuae,Experiment2,3,RANDOM,0,0.000000,700

hivugrjpzk,Experiment2,3,RANDOM,0,0.000000,700

hjymqgnrje,Experiment2,3,RANDOM,0,0.000000,700

mwsuhxqxfg,Experiment2,3,RANDOM,0,0.000000,700

nmfmiauqza,Experiment2,3,RANDOM,0,0.000000,700

urpsdzypms,Experiment2,3,RANDOM,0,0.000000,700

wzlkycacsa,Experiment2,3,RANDOM,1,0.000000,428

dgejocziag,Experiment2,4,MCTS,0,0.000000,551

dufqkmvdnf,Experiment2,4,MCTS,1,0,1

ndrdneedbj,Experiment2,4,MCTS,0,0.000000,566

ratjhmynje,Experiment2,4,MCTS,0,0.000000,530

utdipcgpkx,Experiment2,4,MCTS,0,0.000000,557

vvzjewebzt,Experiment2,4,MCTS,0,0.000000,502

zaqackxbwf,Experiment2,4,MCTS,1,0,1

zpvuqljdpt,Experiment2,4,MCTS,1,3,1

dgejocziag,Experiment2,4,RANDOM,0,0.000000,700

dufqkmvdnf,Experiment2,4,RANDOM,1,0.000000,1

ndrdneedbj,Experiment2,4,RANDOM,0,0.000000,700

ratjhmynje,Experiment2,4,RANDOM,0,0.000000,700

utdipcgpkx,Experiment2,4,RANDOM,0,0.000000,700

vvzjewebzt,Experiment2,4,RANDOM,0,0.000000,700

zaqackxbwf,Experiment2,4,RANDOM,1,0.000000,1

zpvuqljdpt,Experiment2,4,RANDOM,1,3.000000,1

fovqlpipqv,Experiment2,5,MCTS,0,0.000000,701

gmgkdqjrmt,Experiment2,5,MCTS,0,0.000000,512

gvsuptawsx,Experiment2,5,MCTS,1,0,195

kztmghasbo,Experiment2,5,MCTS,0,0.000000,701

lflkzveilg,Experiment2,5,MCTS,0,-15.000000,701

mfqmhgnvah,Experiment2,5,MCTS,0,0.000000,503

unoczcfijw,Experiment2,5,MCTS,0,0.000000,613

xhtvugualy,Experiment2,5,MCTS,1,26,1

fovqlpipqv,Experiment2,5,RANDOM,0,0.000000,700

gmgkdqjrmt,Experiment2,5,RANDOM,0,0.000000,700

gvsuptawsx,Experiment2,5,RANDOM,1,0.000000,195

kztmghasbo,Experiment2,5,RANDOM,0,0.000000,700

lflkzveilg,Experiment2,5,RANDOM,0,-15.000000,700

mfqmhgnvah,Experiment2,5,RANDOM,0,0.000000,700

unoczcfijw,Experiment2,5,RANDOM,0,0.000000,700

xhtvugualy,Experiment2,5,RANDOM,1,26.000000,1

